run_id,timestamp,dataset,test_size,seed,cv,scoring,n_jobs,logistic_accuracy_train_mean,logistic_accuracy_train_sd,logistic_accuracy_val_mean,logistic_accuracy_val_sd,logistic_f1_train_mean,logistic_f1_train_sd,logistic_f1_val_mean,logistic_f1_val_sd,logistic_logloss_train_mean,logistic_logloss_train_sd,logistic_logloss_val_mean,logistic_logloss_val_sd,logistic_gen_gap,decision_trees_accuracy_train_mean,decision_trees_accuracy_train_sd,decision_trees_accuracy_val_mean,decision_trees_accuracy_val_sd,decision_trees_f1_train_mean,decision_trees_f1_train_sd,decision_trees_f1_val_mean,decision_trees_f1_val_sd,decision_trees_logloss_train_mean,decision_trees_logloss_train_sd,decision_trees_logloss_val_mean,decision_trees_logloss_val_sd,decision_trees_gen_gap,random_forest_accuracy_train_mean,random_forest_accuracy_train_sd,random_forest_accuracy_val_mean,random_forest_accuracy_val_sd,random_forest_f1_train_mean,random_forest_f1_train_sd,random_forest_f1_val_mean,random_forest_f1_val_sd,random_forest_logloss_train_mean,random_forest_logloss_train_sd,random_forest_logloss_val_mean,random_forest_logloss_val_sd,random_forest_gen_gap,XG_boost_accuracy_train_mean,XG_boost_accuracy_train_sd,XG_boost_accuracy_val_mean,XG_boost_accuracy_val_sd,XG_boost_f1_train_mean,XG_boost_f1_train_sd,XG_boost_f1_val_mean,XG_boost_f1_val_sd,XG_boost_logloss_train_mean,XG_boost_logloss_train_sd,XG_boost_logloss_val_mean,XG_boost_logloss_val_sd,XG_boost_gen_gap
E0001,20260318_045923,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.808,0.014,0.801,0.03,0.733,0.025,0.723,0.044,0.445,0.012,0.467,0.04,0.008,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0002,20260318_234601,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.806,0.005,0.799,0.038,0.731,0.011,0.722,0.057,0.443,0.011,0.464,0.037,0.007,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0003,20260318_235135,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.808,0.01,0.798,0.034,0.733,0.017,0.718,0.049,0.443,0.011,0.466,0.04,0.01,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0004,20260318_235230,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.811,0.014,0.802,0.03,0.737,0.022,0.724,0.049,0.443,0.01,0.466,0.041,0.009,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0005,20260318_235321,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.809,0.014,0.802,0.027,0.735,0.023,0.724,0.041,0.446,0.011,0.469,0.039,0.007,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0006,20260318_235430,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.811,0.011,0.799,0.034,0.736,0.019,0.721,0.05,0.444,0.013,0.468,0.035,0.012,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0007,20260318_235518,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.808,0.011,0.802,0.034,0.733,0.02,0.724,0.048,0.442,0.011,0.468,0.045,0.006,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0008,20260318_235611,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.808,0.01,0.799,0.033,0.734,0.018,0.72,0.047,0.443,0.011,0.467,0.039,0.009,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0009,20260318_235716,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.809,0.009,0.798,0.033,0.735,0.016,0.72,0.048,0.443,0.011,0.465,0.04,0.011,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
E0010,20260318_235807,titanic.csv,0.2,42,5,f1,-1,0.794,0.01,0.792,0.033,0.71,0.014,0.71,0.043,0.479,0.011,0.491,0.043,0.002,0.816,0.009,0.806,0.039,0.744,0.017,0.734,0.059,0.429,0.014,0.694,0.313,0.009,0.807,0.012,0.796,0.035,0.732,0.019,0.716,0.05,0.442,0.009,0.468,0.042,0.01,0.851,0.013,0.817,0.03,0.789,0.019,0.743,0.046,0.374,0.016,0.438,0.054,0.034
